id,name,material,diameter_mm,length_mm,weight_kg,application,grade,price,quantity,unit_price,customer,notes,estimate_date
1001,回転シャフト,SUS304,50,200,3.1,ポンプ用回転軸,精密級,45000,10,4500,A社,表面処理バフ仕上げ,2024-06-15
1002,固定ピン,S45C,10,80,0.05,治具用位置決め,一般,500,100,5,B社,,2024-07-01
1003,ガイドピン,SUS304,20,100,0.25,金型用ガイド,精密級,4250,5,850,C社,窒化処理,2024-07-10
1004,駆動シャフト,SUS304,45,250,3.5,送風機用,精密級,26000,5,5200,A社,,2024-08-01
1005,支持シャフト,SUS316,50,180,2.8,薬液ポンプ用,精密級,17400,3,5800,D社,電解研磨,2024-08-15
1006,位置決めピン,SKD11,8,60,0.03,プレス金型用,高精度,800,200,4,B社,焼入れHRC60,2024-09-01
1007,スペーサー,A5052,30,15,0.03,装置組立用,一般,200,50,4,E社,,2024-09-10
1008,カラー,SUS304,40,25,0.2,配管固定用,一般,600,30,20,C社,,2024-09-20
1009,連結シャフト,S45C,35,300,2.3,コンベア用,一般,18000,6,3000,A社,高周波焼入れ,2024-10-01
1010,テーパーピン,SUS420J2,12,100,0.09,食品機械用,精密級,3000,20,150,D社,鏡面仕上げ,2024-10-15
